dataset	short_step	short_pairs	short_mean_score	short_status	long_step	long_pairs	long_mean_score	long_status	renders_dir
flower_10	1	28	0.146130	success	5	24	0.250960	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_10/train/ours_31500/renders
flower_11	1	28	0.151721	success	5	24	0.262574	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_11/train/ours_31500/renders
flower_12	1	28	0.124349	success	5	24	0.234553	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_12/train/ours_31500/renders
flower_13	1	28	0.130097	success	5	24	0.255288	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_13/train/ours_31500/renders
flower_14	1	28	0.131102	success	5	24	0.238379	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_14/train/ours_31500/renders
flower_15	1	28	0.077515	success	5	24	0.178335	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_15/train/ours_31500/renders
flower_16	1	28	0.138248	success	5	24	0.259879	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_16/train/ours_31500/renders
flower_17	1	28	0.107033	success	5	24	0.220162	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_17/train/ours_31500/renders
flower_18	1	28	0.122503	success	5	24	0.237112	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_18/train/ours_31500/renders
flower_19	1	28	0.147742	success	5	24	0.270434	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_19/train/ours_31500/renders
flower_20	1	28	0.149981	success	5	24	0.265352	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_20/train/ours_31500/renders
flower	1	28	0.094986	success	5	24	0.194084	success	/mnt/data2/experiments/3dgs/output_Stylized/flower/train/ours_30000/renders
garden_10	1	160	0.194001	success	5	156	0.546456	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_10/train/ours_31500/renders
garden_11	1	160	0.184342	success	5	156	0.512405	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_11/train/ours_31500/renders
garden_12	1	160	0.225353	success	5	156	0.514918	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_12/train/ours_31500/renders
garden_13	1	160	0.170179	success	5	156	0.490119	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_13/train/ours_31500/renders
garden_14	1	160	0.184309	success	5	156	0.462565	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_14/train/ours_31500/renders
garden_15	1	160	0.155426	success	5	156	0.440313	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_15/train/ours_31500/renders
garden_16	1	160	0.194950	success	5	156	0.510934	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_16/train/ours_31500/renders
garden_17	1	160	0.189797	success	5	156	0.496290	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_17/train/ours_31500/renders
garden_18	1	160	0.180005	success	5	156	0.453597	success	/mnt/data2/experiments/3dgs/output_Stylized/garden_18/train/ours_31500/renders
