dataset	short_step	short_pairs	short_mean_score	short_status	long_step	long_pairs	long_mean_score	long_status	renders_dir	message
flower_0	1	28	0.141308	success	5	24	0.245525	success	/mnt/data2/experiments/3dgs/output_Stylized/flower/train/ours_31500/renders	
flower_1	1	28	0.149189	success	5	24	0.258935	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_1/train/ours_31500/renders	
flower_2	1	28	0.140535	success	5	24	0.258348	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_2/train/ours_31500/renders	
flower_3	1	28	0.021021	success	5	24	0.053945	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_3/train/ours_31500/renders	
flower_4	1	28	0.132265	success	5	24	0.241555	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_4/train/ours_31500/renders	
flower_5	1	28	0.135151	success	5	24	0.243690	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_5/train/ours_31500/renders	
flower_6	1	28	0.112470	success	5	24	0.219532	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_6/train/ours_31500/renders	
flower_7	1	28	0.131899	success	5	24	0.253252	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_7/train/ours_31500/renders	
flower_8	1	28	0.115133	success	5	24	0.252769	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_8/train/ours_31500/renders	
flower_9	1	28	0.144834	success	5	24	0.260059	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_9/train/ours_31500/renders	
flower_10	1	28	0.146128	success	5	24	0.250958	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_10/train/ours_31500/renders	
flower_11	1	28	0.151715	success	5	24	0.262567	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_11/train/ours_31500/renders	
flower_12	1	28	0.124343	success	5	24	0.234543	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_12/train/ours_31500/renders	
flower_13	1	28	0.130098	success	5	24	0.255298	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_13/train/ours_31500/renders	
flower_14	1	28	0.131103	success	5	24	0.238378	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_14/train/ours_31500/renders	
flower_15	1	28	0.077515	success	5	24	0.178335	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_15/train/ours_31500/renders	
flower_16	1	28	0.138254	success	5	24	0.259882	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_16/train/ours_31500/renders	
flower_17	1	28	0.107033	success	5	24	0.220161	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_17/train/ours_31500/renders	
flower_18	1	28	0.122501	success	5	24	0.237109	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_18/train/ours_31500/renders	
flower_19	1	28	0.147739	success	5	24	0.270426	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_19/train/ours_31500/renders	
flower_20	1	28	0.149981	success	5	24	0.265349	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_20/train/ours_31500/renders	
flower_21	1	28	0.117769	success	5	24	0.230889	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_21/train/ours_31500/renders	
flower_22	1	28	0.183198	success	5	24	0.304462	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_22/train/ours_31500/renders	
flower_23	1	28	0.166914	success	5	24	0.282964	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_23/train/ours_31500/renders	
