dataset	short_step	short_pairs	short_mean_score	short_status	long_step	long_pairs	long_mean_score	long_status	renders_dir	message
flower_0	1	28	0.140018	success	5	24	0.246290	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_0/train/ours_31500/renders	
flower_1	1	28	0.151947	success	5	24	0.261088	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_1/train/ours_31500/renders	
flower_2	1	28	0.116632	success	5	24	0.237833	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_2/train/ours_31500/renders	
flower_3	1	28	0.136771	success	5	24	0.251191	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_3/train/ours_31500/renders	
flower_4	1	28	0.113034	success	5	24	0.220219	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_4/train/ours_31500/renders	
flower_5	1	28	0.128182	success	5	24	0.234790	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_5/train/ours_31500/renders	
flower_6	1	28	0.131423	success	5	24	0.237550	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_6/train/ours_31500/renders	
flower_7	1	28	0.117993	success	5	24	0.240674	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_7/train/ours_31500/renders	
flower_8	1	28	0.104710	success	5	24	0.234503	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_8/train/ours_31500/renders	
flower_9	1	28	0.137598	success	5	24	0.249952	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_9/train/ours_31500/renders	
flower_10	1	28	0.124339	success	5	24	0.229746	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_10/train/ours_31500/renders	
flower_11	1	28	0.143261	success	5	24	0.258288	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_11/train/ours_31500/renders	
flower_12	1	28	0.121146	success	5	24	0.235353	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_12/train/ours_31500/renders	
flower_13	1	28	0.117036	success	5	24	0.236251	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_13/train/ours_31500/renders	
flower_14	1	28	0.111951	success	5	24	0.223928	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_14/train/ours_31500/renders	
flower_15	1	28	0.080135	success	5	24	0.182365	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_15/train/ours_31500/renders	
flower_16	1	28	0.114448	success	5	24	0.231751	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_16/train/ours_31500/renders	
flower_17	1	28	0.092371	success	5	24	0.219186	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_17/train/ours_31500/renders	
flower_18	1	28	0.123764	success	5	24	0.241855	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_18/train/ours_31500/renders	
flower_19	1	28	0.140958	success	5	24	0.265530	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_19/train/ours_31500/renders	
flower_20	1	28	0.143494	success	5	24	0.261737	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_20/train/ours_31500/renders	
flower_21	1	28	0.119340	success	5	24	0.242770	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_21/train/ours_31500/renders	
flower_22	1	28	0.179210	success	5	24	0.302867	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_22/train/ours_31500/renders	
flower_23	1	28	0.146846	success	5	24	0.259710	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_23/train/ours_31500/renders	
flower_24	1	28	0.133571	success	5	24	0.250650	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_24/train/ours_31500/renders	
flower_25	1	28	0.149114	success	5	24	0.267246	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_25/train/ours_31500/renders	
flower_26	1	28	0.167405	success	5	24	0.287874	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_26/train/ours_31500/renders	
flower_27	1	28	0.122745	success	5	24	0.248560	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_27/train/ours_31500/renders	
flower_28	1	28	0.117764	success	5	24	0.234332	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_28/train/ours_31500/renders	
flower_29	1	28	0.128606	success	5	24	0.243898	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_29/train/ours_31500/renders	
flower_30	1	28	0.167063	success	5	24	0.294511	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_30/train/ours_31500/renders	
flower_31	1	28	0.129646	success	5	24	0.250371	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_31/train/ours_31500/renders	
flower_32	1	28	0.138635	success	5	24	0.262527	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_32/train/ours_31500/renders	
flower_33	1	28	0.150814	success	5	24	0.277305	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_33/train/ours_31500/renders	
flower_34	1	28	0.134316	success	5	24	0.255196	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_34/train/ours_31500/renders	
flower_35	1	28	0.122003	success	5	24	0.233896	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_35/train/ours_31500/renders	
flower_36	1	28	0.100871	success	5	24	0.224150	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_36/train/ours_31500/renders	
flower_37	1	28	0.190413	success	5	24	0.304834	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_37/train/ours_31500/renders	
flower_38	1	28	0.159638	success	5	24	0.292537	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_38/train/ours_31500/renders	
flower_39	1	28	0.114944	success	5	24	0.243166	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_39/train/ours_31500/renders	
flower_40	1	28	0.150961	success	5	24	0.268234	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_40/train/ours_31500/renders	
flower_41	1	28	0.133931	success	5	24	0.277721	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_41/train/ours_31500/renders	
flower_42	1	28	0.137378	success	5	24	0.260634	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_42/train/ours_31500/renders	
flower_43	1	28	0.131992	success	5	24	0.258761	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_43/train/ours_31500/renders	
flower_44	1	28	0.130274	success	5	24	0.244206	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_44/train/ours_31500/renders	
flower_45	1	28	0.144192	success	5	24	0.267344	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_45/train/ours_31500/renders	
flower_46	1	28	0.141801	success	5	24	0.256578	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_46/train/ours_31500/renders	
flower_47	1	28	0.179597	success	5	24	0.313769	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_47/train/ours_31500/renders	
flower_48	1	28	0.107370	success	5	24	0.224191	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_48/train/ours_31500/renders	
flower_49	1	28	0.131150	success	5	24	0.252133	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_49/train/ours_31500/renders	
flower_50	1	28	0.150786	success	5	24	0.262260	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_50/train/ours_31500/renders	
flower_51	1	28	0.144890	success	5	24	0.266133	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_51/train/ours_31500/renders	
flower_52	1	28	0.074658	success	5	24	0.176361	success	/mnt/data2/experiments/3dgs/abl_color_patch/flower_52/train/ours_31500/renders	
